Framework,Version,Domain,Subdomain,Control_ID,Control_Clause,Evidence_Examples,Mapping_CCC,Mapping_PDPL,Source_PDF,Source_Page
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-1,"A cybersecurity strategy must be defined, documented and approved. It must be supported by the head of the organization or his/her delegate (referred to in this document as Authorizing Official). The strategy goals must be in-line with related laws and regulations.",Cybersecurity strategy document signed by Authorizing Official; Board/Executive meeting minutes approving strategy; Strategy alignment matrix with laws/regulations,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-2,A roadmap must be executed to implement the cybersecurity strategy.,Cybersecurity roadmap with milestones and timelines; Implementation progress reports; Project plans for cybersecurity initiatives,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-3,The cybersecurity strategy must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.,Strategy review schedule; Review meeting minutes; Updated strategy documents with version control; Change impact assessments,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-1,"A dedicated cybersecurity function (e.g., division, department) must be established within the organization. This function must be independent from the Information Technology/Information Communication and Technology (IT/ICT) functions (as per the Royal Decree number 37140 dated 14/8/1438H). It is highly recommended that this function reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest.",Organizational chart showing cybersecurity function; Job descriptions for cybersecurity roles; Reporting structure documentation; Independence assessment,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-2,"The position of cybersecurity function head (e.g., CISO), and related supervisory and critical positions within the function, must be filled with full-time and experienced Saudi cybersecurity professionals.",CISO employment contract (full-time); CV and certifications of Saudi cybersecurity professionals; Proof of nationality; Experience verification documents,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-3,"A cybersecurity steering committee must be established by the Authorizing Official to ensure the support and implementation of the cybersecurity programs and initiatives within the organization. Committee members, roles and responsibilities, and governance framework must be defined, documented and approved. The committee must include the head of the cybersecurity function as one of its members. It is highly recommended that the committee reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest.",Steering committee charter; Committee member list with roles; Meeting minutes and attendance records; Decision logs; Committee reporting structure,"Art. 3, Art. 4",Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-1,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Authorizing Official, and disseminated to relevant parties inside and outside the organization.",Policy and procedure documents with approval signatures; Dissemination records (emails, training sessions); Acknowledgment receipts from staff,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-2,The cybersecurity function must ensure that the cybersecurity policies and procedures are implemented.,Implementation evidence (system configurations, access logs); Compliance audit reports; Gap analysis reports,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-3,"The cybersecurity policies and procedures must be supported by technical security standards (e.g., operating systems, databases and firewall technical security standards).",Technical security standards documents; Hardening guides; Configuration baselines; Security templates,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-4,The cybersecurity policies and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.,Review schedule; Review meeting minutes; Change control records; Version-controlled policy documents; Approval signatures,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-4 Cybersecurity Roles and Responsibilities,1-4-1,"Cybersecurity organizational structure and related roles and responsibilities must be defined, documented, approved, supported and assigned by the Authorizing Official while ensuring that this does not result in a conflict of interest.",RACI matrix; Job descriptions; Organizational chart; Authorizing Official approval document; Conflict of interest assessments,"1-1-T-1, 1-1-P-1","Art. 3, Art. 4",ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-4 Cybersecurity Roles and Responsibilities,1-4-2,The cybersecurity roles and responsibilities must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.,Role review schedule; Review meeting minutes; Updated RACI matrices; Approval records,1-1-P-1-1,"Art. 3, Art. 4",ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-5 Cybersecurity Risk Management,1-5-1,"Cybersecurity risk management methodology and procedures must be defined, documented and approved as per confidentiality, integrity and availability considerations of information and technology assets.",Risk management framework document; Risk assessment methodology; Risk register template; Approval signatures,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-5 Cybersecurity Risk Management,1-5-2,The cybersecurity risk management methodology and procedures must be implemented by the cybersecurity function.,Completed risk assessments; Risk register with identified risks; Risk treatment plans; Monitoring reports,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-5 Cybersecurity Risk Management,1-5-3,The cybersecurity risk assessment procedures must be implemented at least in the following cases: Early stages of technology projects; Before making major changes to technology infrastructure; During the planning phase of obtaining third party services; During the planning phase and before going live for new technology services and products.,"Risk assessments for projects; Change management risk forms; Third-party risk assessments; Pre-launch risk reviews","1-2-P-1-2, 1-2-P-1, 1-2-T-1",Art. 3,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-5 Cybersecurity Risk Management,1-5-4,The cybersecurity risk management methodology and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.,Methodology review schedule; Review meeting minutes; Updated methodology documents; Change control records,,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-6 Cybersecurity in Information and Technology Project Management,1-6-1,Cybersecurity requirements must be included in project and asset (information/ technology) change management methodology and procedures to identify and manage cybersecurity risks as part of project management lifecycle. The cybersecurity requirements must be a key part of the overall requirements of technology projects.,Project management methodology with cybersecurity integration; Project charter templates with cybersecurity requirements; Change management procedures,,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-6 Cybersecurity in Information and Technology Project Management,1-6-2,The cybersecurity requirements in project and assets (information/technology) change management must include at least the following: Vulnerability assessment and remediation; Conducting a configurations' review secure configuration and hardening and patching before changes or going live for technology projects.,Vulnerability scan reports; Remediation plans; Configuration review checklists; Hardening documentation; Patch management records,,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-6 Cybersecurity in Information and Technology Project Management,1-6-3,The cybersecurity requirements related to software and application development projects must include at least the following: Using secure coding standards; Using trusted and licensed sources for software development tools and libraries; Conducting compliance test for software against the defined organizational cybersecurity requirements; Secure integration between software components; Conducting a configurations' review secure configuration and hardening and patching before going live for software products.,Secure coding standards document; Software bill of materials (SBOM); License compliance records; Security testing reports; Integration security reviews; Pre-production hardening checklists,,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-6 Cybersecurity in Information and Technology Project Management,1-6-4,The cybersecurity requirements in project management must be reviewed periodically.,Review schedule; Review meeting minutes; Updated requirements documentation,,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-7 Compliance with Cybersecurity Standards Laws and Regulations,1-7-1,The organization must comply with related national cybersecurity laws and regulations.,Legal compliance matrix; Compliance audit reports; Evidence of adherence to national cybersecurity laws,"1-3-P-1-1, 1-3-P-1, 1-3-T-1",Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-7 Compliance with Cybersecurity Standards Laws and Regulations,1-7-2,The organization must comply with any nationally-approved international agreements and commiments related to cybersecurity.,International agreement compliance records; Attestation documents; Third-party certifications (ISO 27001 if applicable),,Not Applicable,ecc-en.pdf,16
ECC,ECC-1:2018,Cybersecurity Governance,1-8 Periodical Cybersecurity Review and Audit,1-8-1,Cybersecurity reviews must be conducted periodically by the cybersecurity function in the organization to assess the compliance with the cybersecurity controls in the organization.,Internal cybersecurity review schedule; Review reports; Findings and recommendations; Remediation tracking,,1-1-1,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-8 Periodical Cybersecurity Review and Audit,1-8-2,"Cybersecurity audits and reviews must be conducted by independent parties outside the cybersecurity function (e.g., Internal Audit function) to assess the compliance with the cybersecurity controls in the organization. Audits and reviews must be conducted independently, while ensuring that this does not result in a conflict of interest, as per the Generally Accepted Auditing Standards (GAAS), and related laws and regulations.",Independent audit reports; Auditor independence declarations; Audit scope documents; GAAS compliance evidence,,1-1-2,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-8 Periodical Cybersecurity Review and Audit,1-8-3,"Results from the cybersecurity audits and reviews must be documented and presented to the cybersecurity steering committee and Authorizing Official. Results must include the audit/review scope, observations, recommendations and remediation plans.",Audit/review presentation materials; Committee meeting minutes with audit discussion; Management response documents; Remediation action plans,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-1,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be defined, documented and approved.",HR security policy; Pre-employment screening procedures; During-employment security requirements; Termination/separation procedures,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-2,The personnel cybersecurity requirements must be implemented.,Background check records; Security training completion records; Access provisioning/de-provisioning logs; Exit interview documentation,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-3,The personnel cybersecurity requirements prior to employment must include at least the following: Inclusion of personnel cybersecurity responsibilities and non-disclosure clauses (covering the cybersecurity requirements during employment and after termination/ separation) in employment contracts; Screening or vetting candidates of cybersecurity and critical/privileged positions.,Employment contracts with cybersecurity clauses and NDA; Background screening reports for critical positions; Vetting approval documents,"1-4-P-1-3, 1-4-P-2-1, 1-4-P-2, 1-4-T-1",Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-4,The personnel cybersecurity requirements during employment must include at least the following: Cybersecurity awareness (during on-boarding and during employment); Implementation of and compliance with the cybersecurity requirements as per the organizational cybersecurity policies and procedures.,Onboarding security training records; Annual/periodic security awareness training logs; Policy acknowledgment forms; Compliance monitoring reports,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-5,Personnel access to information and technology assets must be reviewed and removed immediately upon termination/separation.,Access review logs; Termination checklists with access revocation confirmation; Asset return forms; Final access audit report,,Art. 19,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-9 Cybersecurity in Human Resources,1-9-6,Personnel cybersecurity requirements must be reviewed periodically.,HR security policy review schedule; Review meeting minutes; Updated policy documents,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-10 Cybersecurity Awareness and Training,1-10-1,"A cybersecurity awareness program must be developed and approved. The program must be conducted periodically through multiple channels to strengthen the awareness about cybersecurity, cyber threats and risks, and to build a positive cybersecurity awareness culture.",Security awareness program plan; Approval documents; Awareness campaign materials (posters emails videos); Communication schedule,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-10 Cybersecurity Awareness and Training,1-10-2,The cybersecurity awareness program must be implemented.,Training attendance records; Completion certificates; Phishing simulation results; Awareness metrics and dashboards,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-10 Cybersecurity Awareness and Training,1-10-3,The cybersecurity awareness program must cover the latest cyber threats and how to protect against them and must include at least the following subjects: Secure handling of email services especially phishing emails; Secure handling of mobile devices and storage media; Secure Internet browsing; Secure use of social media.,Training materials covering phishing; Mobile device security training; Internet browsing security guidelines; Social media security policy and training,"1-3-1-5, 1-3-1-3, 1-3-1-4, 1-3-1-7, 1-3-1-6, 1-3-1-1, 1-3-1-2",Art. 19,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-10 Cybersecurity Awareness and Training,1-10-4,"Essential and customized (i.e., tailored to job functions as it relates to cybersecurity) training and access to professional skillsets must be made available to personnel working directly on tasks related to cybersecurity including: Cybersecurity function's personnel; Personnel working on software/application development; and information and technology assets operations; Executive and supervisory positions.",Role-based training curriculum; Training completion records; Professional certification records (CISSP CEH etc.); Executive cybersecurity training materials,,Art. 19,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Governance,1-10 Cybersecurity Awareness and Training,1-10-5,The implementation of the cybersecurity awareness program must be reviewed periodically.,Program effectiveness metrics; Review meeting minutes; Updated training materials; Participant feedback analysis,,Not Applicable,ecc-en.pdf,17
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-1,"Cybersecurity requirements for managing information and technology assets must be defined, documented and approved.",Asset management policy; Asset classification scheme; Asset handling procedures; Approval signatures,,Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-2,The cybersecurity requirements for managing information and technology assets must be implemented.,Asset inventory (CMDB); Asset ownership assignments; Asset lifecycle records; Disposal logs,,Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-3,"Acceptable use policy of information and technology assets must be defined, documented and approved.",Acceptable Use Policy (AUP) document; Approval signatures; Distribution records,"Art. 3, Art. 4",Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-4,Acceptable use policy of information and technology assets must be implemented.,AUP acknowledgment forms from users; Monitoring logs for policy violations; Incident reports related to AUP violations,"Art. 3, Art. 4",Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-5,"Information and technology assets must be classified, labeled and handled as per related law and regulatory requirements.",Asset classification policy; Classified asset inventory with labels; Handling procedures per classification level; Regulatory compliance mapping,"2-7-T-1-2, 2-12-P-1-5",Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-1 Asset Management,2-1-6,The cybersecurity requirements for managing information and technology assets must be reviewed periodically.,Asset management policy review schedule; Review meeting minutes; Updated asset management documentation,2-1-P-1-2,Not Applicable,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-2 Identity and Access Management,2-2-1,"Cybersecurity requirements for identity and access management must be defined, documented and approved.",Identity and Access Management (IAM) policy; Access control procedures; Approval signatures,,Art. 19,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-2 Identity and Access Management,2-2-2,The cybersecurity requirements for identity and access management must be implemented.,User access provisioning records; Access review logs; Privilege management documentation,"2-2-P-1, 2-2-T-1",Art. 19,ecc-en.pdf,18
ECC,ECC-1:2018,Cybersecurity Defense,2-2 Identity and Access Management,2-2-3,The cybersecurity requirements for identity and access management must include at least the following: User authentication based on username and password; Multi-factor authentication for remote access; User authorization based on identity and access control principles: Need-to-Know and Need-to-Use Least Privilege and Segregation of Duties; Privileged access management.,Password policy; MFA implementation evidence; RBAC configuration; Privileged access management (PAM) solution; Segregation of duties matrix,"2-2-T-1-4, 2-2-P-1-3, 2-2-P-1-11, 2-1-2, 2-1-1-1",Art. 19,ecc-en.pdf,18
